,TEXT
0,"my canoe to make more steady,"
1,and be glad in the summer morning when the kindred ride on their way;
2,and when they reached the strait symplegades
3,she sought for flowers
4,"if they are hungry, paradise"
5,indignantly i hurled the cry:
6,with which his house is haunted;
7,"and, laying snow-white flowers against my hair."
8,"of long-uncoupled bed, and childless eld,"
9,"of the boulder-strewn mountain, and when they will crop."
10,on thine own bird the sweet enthusiasm
11,"said then the lost arch angel, this the seat"
12,a simple strain--
13,"his golden cross worn innermostly, (carved"
14,"such days as thou, not even thou didst know,"
15,"that we must change for heav'n, this mournful gloom"
16,"lo now, o daughter of kings, let us rise in the face of the day,"
17,"for penance, by a saintly styrian monk"
18,"upon a mountain crag, young angelo--"
19,down in lovah's lane.
20,"as o'er the earth it wanders wide,"
21,"how hearts were answering to his own,"
22,glad on its stone-built hearth; and thorough the wide-mouthed smoke-flue
23,"sees the clouds reel and roll above our head,"
24,’tis to behold his vengeance for my son.
25,i cannot tell rude listeners
26,points beyond the midnight hour.
27,i watch the fog float in at the window
28,those wastes of frozen billows that were hurled
29,"we're perishing and blind!"""
30,"may george, beloved by all the nations round,"
31,"bertram finished the last pages, while along the silence ever"
32,"half the tell-tale south-wind said,--"
33,"he hid his gold,"
34,"youth, i do adore thee;"
35,"he stares, and shakes, and finds it vain to fly;"
36,"i look up from this page of thine,"
37,of robert burns and alexander.
38,"crouching and sleeping neath its grassy lair,"
39,"for her, though god has made her gentle and endearing,"
40,sings the blackened log a tune
41,"push every outpost nearer,"
42,that day.
43,the life of love that gave it--settles.
44,until my latest breath.
45,"the moon hath veiled her face,"
46,midway the floor (with thatch was it strewn) burned ever the fire-flame
47,"""i rather should have hewn your limbs away,"
48,a wail of utter agony
49,"with shame his glowing cheeks, his eyes with fury burn’d."
50,live with heav'ns choicest constant blessings crown'd!
51,"whut i keer ef day is long,"
52,"ah, douglass, we have fall'n on evil days,"
53,through swiftly changing season.
54,"""is this a nightmare, or am i"
55,"and others say, as we have said:"
56,o that i were where helen lies
57,"o, mind ye, luve, how aft we left"
58,he might have been as doubtful once
59,"that i an accessary needs must be,"
60,"a fleecy cloud,"
61,shall dwell in the house of my fathers and the land of the people's praise;
62,"dauntless he rose, and to the fight return’d;"
63,"and if my bubbles be too small for you,"
64,"to wakeful frenzy's vigil--rages,"
65,"and through it, and round it, and over it all"
66,o graves of men who lived and died
67,"for the whole cardinals' college, or"
68,"and the tree trembled, and the shouting cries"
69,blow bigger then your own:  the games we play
70,the habitable earth is full of bliss;
71,and yon outlying range invites
72,but still within my bosom's core
73,"of your strong and pliant branches,"
74,sith i might some counsel find
75,let sighing breezes call.
76,(thy kingdom come) with his revealéd face
77,"i see the thing as clear as light,--"
78,"fit for an abbot of theleme,"
79,"and i turned away to thee,"
80,"the fear of angels, awful though they be,"
81,down deep in the ground a box of gold.
82,like those famed seven who slept three ages.
83,their names let hands of horn and tan
84,"with the whole world gone blind,"
85,"and, wildly tossed from cheeks and chin,"
86,of my wit or in my mind
87,the night had found (to him a night of wo)
88,"but, fixing on the horrid maid his eye,"
89,roamed amongst the roses white and red.
90,"yea, soon, no consonant unsmooth"
91,from its stem the ripening ear--
92,this endless outrage shall they still sustain?
93,shall troy renew’d be forc’d and fir’d again?
94,"which overflows in notes of liquid gladness,"
95,where the warm life we cannot see--
96,i met them one day and each had a flower
97,"thus while the trojan prince employs his eyes,"
98,"they beached their galley on the shore, and sought"
99,shall live my highland mary.
100,now is past since last we met
101,begins to live
102,beneath the hazel bough;
103,"daring to ask for naught, and having naught received."
104,with pale blue berries. in these peaceful shades--
105,"it flows so long as falls the rain,"
106,"and that is why, the lonesome day,"
107,"when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,"
108,of inward strife for truth and liberty.
109,the red sword sealed their vows!
110,and very venus of a pipe.
111,"who the man, who, called a brother."
112,"and so on. then a worthless gaud or two,"
113,to hide the orb of truth--and every throne
114,the call's more urgent when he journeys slow.
115,with the _quart d'heure_ of rabelais!
116,"and match, and bend, and thorough-blend, in her colossal form and face."
117,have i played in different countries.
118,"tells us that the day is ended."""
119,and not alone by gold;
120,that has a charmingly bourbon air.
121,"sounded o'er earth and sea its blast of war,"
122,chief poet on the tiber-side
123,"as under a sunbeam a cloud ascends,"
124,"brightly expressive as the twins of leda,"
125,"of night, and all things now retir'd to rest"
126,in latmian fountains long ago.
127,in monumental pomp! no grecian drop
128,"and when they reached the house,"
129,"then this old orchard, sloping to the west;"
130,so prythee get thee gone.
131,the other dark-eyed dears
132,me honied paths forsake;
133,to that mysterious strand.
134,wid a song up on de way.
135,"her visions and those we have seen,--"
136,he sat beside the governor and said grace;
137,fifty times the brahmins' offer deluged all the floor.
138,and what are all the prizes won
139,made snow of all the blossoms; at my feet
140,"he never told us what he was,"
141,"want and woe, which torture us,"
142,"a ruby, and a pearl, or so,"
143,"an echo returned on the cold gray morn,"
144,"he says he’s hungry,—he would rather have"
145,"while i, ... i built up follies like a wall"
146,"and then he shut his little eyes,"
147,"ah, what a pang of aching sharp surprise"
148,"and gladys said,"
149,"peep timidly from out its nest,"
150,the oriole's fledglings fifty times
151,the hostile cohorts melt away;
152,"and the old swallow-haunted barns,--"
153,"from god's design, with threads of rain!"
154,"how over, though, for even me who knew"
155,"warped into adamantine fretwork, hung"
156,wilt thou forget the love that joined us here?
157,"the which she bearing home it burned her nest,"
158,have roughened in the gales!
159,"pilgrim and soldier, saint and sage,"
160,down in the west upon the ocean floor
161,"""what did you hear, for instance?"" willis said."
162,should favour equal to the sons of heaven:
163,"some, not so large, in rings,--"
164,"the crown of sorrow on their heads, their loss"
165,"the eternal law,"
166,and lips where heavenly smiles would hang and blend
167,"we're a band!"" said the weary big dragoon."
168,fu' to ba' de battle's brunt.
169,"and brief related whom they brought, wher found,"
170,i lay and watched the lonely gloom;
171,honour to the bugle-horn!
172,"a sceptre,--monstrous, winged, intolerable."
173,"max laid his hand upon the old man's arm,"
174,"when on the boughs the purple buds expand,"
175,if the pure and holy angels
176,endymion would have passed across the mead
177,upon the thought of perfect noon. and when
178,thy hands all cunning arts that women prize.
179,"reasoning to admiration, and with mee"
180,while the rude winds blow off each shadowy crown.
181,"the former, as the slacken’d reins he drew"
182,"she falls back from the freedom she had hoped."""
183,"then--i would gather it, to thee unaware,"
