,TEXT
0,"a tree a tree beside the sandy river-beach      holds up its topmost boughs  like fingers towards the skies they cannot reach,      earth-bound, heaven amorous. "
1,this is the soul of man. body and brain  hungry for earth our heavenly flight detain. 
2,sri krishna
3,"o immense light and thou, o spirit-wide boundless space, whom have you clasped and hid, deathless limbs, gloried face?  vainly lie 'space and time, ""void are we, there is none."" vainly strive self and world crying, ""i, i alone.""  one is there, self of self, soul of space, fount of time, heart of hearts, mind of minds, he alone sits, sublime. oh, no void absolute self-absorbed, splendid, mute, hands that clasp hold and red lips that kiss blow the flute.  all he loves, all he moves, all are his, all are he!  many limbs sate his whims, hear his sweet ecstasy. two in one, two who know difference rich in sense, two to clasp, one to be, this his strange mystery."
4,who
5," in the blue of the sky, in the green of the forest, whose is the hand that has painted the glow? when the winds were asleep in the womb of the ether, who was it roused them and bade them to blow?"
6,"he is lost in the heart, in the cavern of nature, he is found in the brain where he builds up the thought: in the pattern and bloom of the flowers he is woven, in the luminous net of the stars he is caught."
7,"in the strength of a man, in the beauty of woman, in the laugh of a boy, in the blush of a girl; the hand that sent jupiter spinning through heaven, spends all its cunning to fashion a curl."
8,these are his works and his veils and his shadows; but where is he then? by what name is he known? is he brahma or vishnu? a man or a woman? bodied or bodiless? twin or alone?
9,"we have love for a boy who is dark and resplendent, a woman is lord of us, naked and fierce. we have seen him a-muse on the snow of the mountains, we have watched him at work in the heart of the spheres."
10,"we will tell the whole world of his ways and his cunning: he has rapture of torture and passion and pain; he delights in our sorrow and drives us to weeping, then lures with his joy and his beauty again. all music is only the sound of his laughter, all beauty the smile of his passionate bliss; our lives are his heart-beats, our rapture the bridal of radha and krishna, our love is their kiss."
11,"he is strength that is loud in the blare of the trumpets, and he rides in the car and he strikes in the spears; he slays without stint and is full of compassion; he wars for the world and its ultimate years."
12,"in the sweep of the worlds, in the surge of the ages, ineffable, mighty, majestic and pure, beyond the last pinnacle seized by the thinker he is throned in his seats that for ever endure."
13,"the master of man and his infinite lover, he is close to our hearts, had we vision to see; we are blind with our pride and the pomp of our passions, we are bound in our thoughts where we hold ourselves free."
14,"it is he in the sun who is ageless and deathless, and into the midnight his shadow is thrown; when darkness was blind and engulfed within darkness, he was seated within it immense and alone."
15,revelation
16," someone leaping from the rocks past me ran with windblown locks like a startled bright surmise visible to mortal eyes, — just a cheek of frightened rose that with sudden beauty glows, just a footstep like the wind and a hurried glance behind, and then nothing, — as a thought escapes the mind ere it is caught. someone of the heavenly rout from behind the veil ran out."
17,the silver call
18," there is a godhead of unrealised things to which time's splendid gains are hoarded dross; a cry seems near, a rustle of silver wings calling to heavenly joy by earthly loss."
19," all eye has seen and all the ear has heard is a pale illusion by some greater voice and mightier vision; no sweet sound or word, no passion of hues that make the heart rejoice"
20," can equal these diviner ecstasies. a mind beyond our mind has sole the ken of those yet unimagined harmonies, the fate and privilege of unborn men."
21," as rain-thrashed mire the marvel of the rose, earth waits that distant marvel to disclose."
22,surrender
23,"o thou of whom i am the instrument, o secret spirit and nature housed in me, let all my mortal being now be blent in thy still glory of divinity."
24," i have given my mind to be dug thy channel mind, i have offered up my will to be thy will : let nothing of myself be left behind in our union mystic and unutterable."
25, my heart shall throb with the world-beats of thy 1ove; my body become thy engine for earth-use; in my nerves and veins thy rapture's streams shall move ; my thoughts shall be hounds of light for thy power to loose.
26, keep only my soul to adore eternally and meet thee in each form and soul of thee.
27,krishna
28,"           at last i find a meaning of soul's birth            into this universe terrible and sweet,      i who have felt the hungry heart of earth          aspiring beyond heaven to krishna's feet."
29,"      i have seen the beauty of immortal eyes,         and heard the passion of the lover's flute,"
30,     and known a deathless ecstasy's surprise        and sorrow in my heart for ever mute.
31,"     nearer apd nearer now the music draws,          life shudders with a strange felicity;     all nature is a wide enamoured pause         hoping her lord to touch, to clasp, to be."
32,     for this one moment lived the ages past;    the world now throbs fulfilled in me at last
33,the blue bird
34, i am the bird of god in his blue; divinely high and clear i sing the notes of the sweet and the true for the god's and the seraph's ear.
35,i rise like a fire from the mortal's earth into a griefless sky and drop in the suffering soil of his birth fire-seeds of ecstasy.
36,my pinions soar beyond time and space into unfading light; i bring the bliss of the eternal's face and the boon of the spirit's sight.
37,i measure the worlds with my ruby eyes; i have perched on wisdom's tree thronged with the blossoms of paradise by the streams of eternity.
38,"nothing is hid from my burning heart; my mind is shoreless and still; my song is rapture's mystic art, my flight immortal will."
