,TEXT
0,a tree beside the sandy river-beach 
1,    holds up its topmost boughs 
2,"like fingers towards the skies they cannot reach, "
3,"    earth-bound, heaven amorous. "
4,this is the soul of man. body and brain 
5,hungry for earth our heavenly flight detain. 
6,"o immense light and thou, o spirit-wide boundless space,"
7,"whom have you clasped and hid, deathless limbs, gloried face?"
8," vainly lie 'space and time, ""void are we, there is none."""
9,"vainly strive self and world crying, ""i, i alone."""
10," one is there, self of self, soul of space, fount of time,"
11,"heart of hearts, mind of minds, he alone sits, sublime."
12,"oh, no void absolute self-absorbed, splendid, mute,"
13,hands that clasp hold and red lips that kiss blow the flute.
14," all he loves, all he moves, all are his, all are he!"
15," many limbs sate his whims, hear his sweet ecstasy."
16,"two in one, two who know difference rich in sense,"
17,"two to clasp, one to be, this his strange mystery."
18,"in the blue of the sky, in the green of the forest,"
19,whose is the hand that has painted the glow?
20,"when the winds were asleep in the womb of the ether,"
21,who was it roused them and bade them to blow?
22,"he is lost in the heart, in the cavern of nature,"
23,he is found in the brain where he builds up the thought:
24,"in the pattern and bloom of the flowers he is woven,"
25,in the luminous net of the stars he is caught.
26,"in the strength of a man, in the beauty of woman,"
27,"in the laugh of a boy, in the blush of a girl;"
28,"the hand that sent jupiter spinning through heaven,"
29,spends all its cunning to fashion a curl.
30,these are his works and his veils and his shadows;
31,but where is he then? by what name is he known?
32,is he brahma or vishnu? a man or a woman?
33,bodied or bodiless? twin or alone?
34,"we have love for a boy who is dark and resplendent,"
35,"a woman is lord of us, naked and fierce."
36,"we have seen him a-muse on the snow of the mountains,"
37,we have watched him at work in the heart of the spheres.
38,we will tell the whole world of his ways and his cunning:
39,he has rapture of torture and passion and pain;
40,"he delights in our sorrow and drives us to weeping,"
41,then lures with his joy and his beauty again.
42,"all music is only the sound of his laughter,"
43,all beauty the smile of his passionate bliss;
44,"our lives are his heart-beats, our rapture the bridal"
45,"of radha and krishna, our love is their kiss."
46,"he is strength that is loud in the blare of the trumpets,"
47,and he rides in the car and he strikes in the spears;
48,he slays without stint and is full of compassion;
49,he wars for the world and its ultimate years.
50,"in the sweep of the worlds, in the surge of the ages,"
51,"ineffable, mighty, majestic and pure,"
52,beyond the last pinnacle seized by the thinker
53,he is throned in his seats that for ever endure.
54,"the master of man and his infinite lover,"
55,"he is close to our hearts, had we vision to see;"
56,"we are blind with our pride and the pomp of our passions,"
57,we are bound in our thoughts where we hold ourselves free.
58,"it is he in the sun who is ageless and deathless,"
59,and into the midnight his shadow is thrown;
60,"when darkness was blind and engulfed within darkness,"
61,he was seated within it immense and alone.
62,someone leaping from the rocks
63,past me ran with windblown
64,locks like a startled bright surmise
65,"visible to mortal eyes, —"
66,just a cheek of frightened rose
67,"that with sudden beauty glows,"
68,just a footstep like the wind
69,"and a hurried glance behind,"
70,"and then nothing, — as a thought"
71,escapes the mind ere it is caught.
72,someone of the heavenly rout
73,from behind the veil ran out.
74,the silver call
75,there is a godhead of unrealised things
76,to which time's splendid gains are hoarded dross;
77,"a cry seems near, a rustle of silver wings"
78,calling to heavenly joy by earthly loss.
79,all eye has seen and all the ear has heard
80,is a pale illusion by some greater voice
81,"and mightier vision; no sweet sound or word,"
82,no passion of hues that make the heart rejoice
